mass_1_source mass_2_source a_1 a_2 spin_1x spin_2x spin_1y spin_2y spin_1z spin_2z cos_tilt_1 cos_tilt_2 phi_1 phi_2 phi_12 eccentricity mean_anomaly redshift ra dec detection_time cos_iota psi phi_orb mass_1_detector mass_2_detector luminosity_distance
1.066774559e+01 8.201940536e+00 2.380560935e-01 4.836001992e-01 -1.135945842e-01 2.062038332e-02 3.081096411e-01 1.000853721e-02 -7.637133449e-02 -2.657204270e-01 -5.310981274e-01 3.290951252e-01 5.040714890e-02 1.492937803e+00 4.637454033e+00 1.123229489e-01 5.264193058e+00 1.789609343e-01 2.664568186e+00 -6.289846897e-01 3.232789795e+03 5.939002037e-01 7.171704769e-01 2.307470560e+00 1.257685531e+01 9.669767478e+00 8.939352721e+02
7.668103790e+01 4.908473587e+01 5.290500447e-02 6.555176973e-01 2.868103087e-01 6.109994650e-02 -1.138579473e-01 -1.164707318e-01 6.281311065e-02 -3.798902035e-01 7.288370132e-01 -9.271383286e-01 5.019322872e+00 5.473004818e+00 4.027917385e+00 8.617462963e-02 1.143169999e+00 8.750972152e-01 6.094156742e+00 -8.351128101e-01 3.636922607e+03 4.976975918e-01 1.737721682e+00 1.888901144e-01 1.437844006e+02 9.203865154e+01 5.762881118e+03
6.541526031e+01 3.086523819e+01 5.516778827e-01 2.194015980e-01 -8.648800105e-02 -1.027898714e-01 6.003881246e-02 -3.465202153e-01 2.134604305e-01 4.258991778e-01 1.872382164e-01 2.709348202e-01 1.901205182e+00 4.463581562e+00 3.467858076e+00 2.974534929e-01 1.981265783e+00 4.390464723e-01 1.644272447e+00 8.996536732e-01 8.931084595e+02 -4.909482002e-01 3.022010326e+00 3.692115784e+00 9.413559959e+01 4.441651213e+01 2.499498814e+03
7.077210236e+01 6.918630981e+01 2.008299381e-01 6.913737059e-01 -2.508508042e-02 -2.806529775e-02 5.957490206e-02 9.590385854e-02 -1.109743640e-01 -8.998321742e-02 2.621641159e-01 2.185077667e-01 8.419689536e-01 4.054929256e+00 5.668967724e+00 6.046415865e-02 3.511386871e+00 1.125363231e+00 5.521687508e+00 9.294247627e-02 4.487147949e+03 -7.620875835e-01 1.200463533e+00 1.164386630e+00 1.504164241e+02 1.470460389e+02 7.856893389e+03
7.951697826e+00 7.063731194e+00 2.929753363e-01 1.934434921e-01 5.620983243e-01 -1.772667766e-01 1.307992786e-01 4.920336977e-02 -6.058993936e-02 -3.672965243e-02 -5.409700871e-01 4.201929569e-01 4.894634724e+00 3.100134850e+00 4.295773983e+00 1.665870696e-01 3.896160841e+00 1.907940030e+00 5.296823025e+00 -3.215212822e-01 3.176180664e+03 9.249975681e-01 1.986338139e+00 1.354036927e+00 2.312306042e+01 2.054090670e+01 1.504297846e+04
3.774977112e+01 3.149992752e+01 9.330217540e-02 2.927155793e-01 -2.724029422e-01 5.445322022e-02 -1.320709288e-01 -1.993899494e-01 5.407375842e-02 5.825213343e-02 -5.251770020e-01 -8.122611046e-02 4.214998245e+00 2.949127674e+00 2.004869461e+00 2.612115256e-02 1.391861439e+00 5.673171282e-01 4.036791325e+00 -8.504178524e-01 1.278514893e+03 -9.634208679e-01 3.007877588e+00 3.209633827e+00 5.916586286e+01 4.937037594e+01 3.396807014e+03
3.034349823e+01 2.064569473e+01 4.073966742e-01 8.882413805e-02 -5.971995592e-01 -2.049454898e-01 6.804583967e-02 -1.274470687e-01 -1.071484685e-01 8.443194628e-02 -9.755113125e-01 9.023432732e-01 5.461387634e+00 3.526661634e+00 3.431816339e+00 2.018181533e-01 4.419888020e+00 1.360306293e-01 5.045919895e+00 -4.542739391e-01 1.155020523e+02 6.894524097e-01 1.116865396e+00 5.057185888e-01 3.447114339e+01 2.345414158e+01 6.618600912e+02
4.360626602e+01 4.016912460e+01 4.291110933e-01 2.183682844e-02 -2.310715914e-01 3.200157583e-01 -2.000198215e-01 2.001643479e-01 1.509983744e-02 -1.917538606e-02 -7.185270786e-01 -9.572939873e-01 2.837609768e+00 4.896063805e+00 9.529578686e-01 2.793291509e-01 2.587494612e+00 4.637964368e-01 6.124924660e+00 -8.058121204e-01 1.489356934e+03 -1.793842316e-01 4.123341143e-01 7.013992667e-01 6.383069682e+01 5.879942146e+01 2.667846734e+03
1.393045998e+01 5.449267864e+00 2.430778593e-01 7.711724937e-02 6.814203411e-02 7.713762671e-02 1.077364460e-01 7.256177813e-02 1.322798729e-01 -3.785281181e-01 9.333915710e-01 2.472605705e-01 2.637578964e+00 5.873768330e-01 2.009837627e+00 3.494527889e-03 4.671603680e+00 1.835208416e+00 2.976327181e+00 -5.778651237e-01 2.813796875e+03 1.032178402e-01 1.283581734e+00 4.860582352e+00 3.949575736e+01 1.544981011e+01 1.434427494e+04
5.347417831e+01 3.771303558e+01 1.607510149e-01 1.359374821e-01 -6.502630562e-02 -1.890016496e-01 1.781955361e-01 5.237456784e-02 -1.781433821e-02 2.128611803e-01 8.780279160e-01 -8.820030689e-01 3.155104160e+00 1.721357226e+00 2.638050079e+00 3.603815436e-01 2.662574291e+00 6.681566834e-01 2.613615036e+00 9.530491829e-01 5.517034912e+02 -8.308002949e-01 4.814935923e-01 2.523298025e+00 8.920330795e+01 6.291125236e+01 4.141927151e+03
